2017-02-15 20:17:05 startup archives install
2017-02-15 20:17:05 install base-passwd:armhf <none> 3.5.39
2017-02-15 20:17:05 status half-installed base-passwd:armhf 3.5.39
2017-02-15 20:17:05 status unpacked base-passwd:armhf 3.5.39
2017-02-15 20:17:05 status unpacked base-passwd:armhf 3.5.39
2017-02-15 20:17:05 configure base-passwd:armhf 3.5.39 3.5.39
2017-02-15 20:17:05 status unpacked base-passwd:armhf 3.5.39
2017-02-15 20:17:05 status half-configured base-passwd:armhf 3.5.39
2017-02-15 20:17:05 status installed base-passwd:armhf 3.5.39
2017-02-15 20:17:05 startup archives install
2017-02-15 20:17:05 install base-files:armhf <none> 9.4ubuntu4
2017-02-15 20:17:05 status half-installed base-files:armhf 9.4ubuntu4
2017-02-15 20:17:05 status unpacked base-files:armhf 9.4ubuntu4
2017-02-15 20:17:05 status unpacked base-files:armhf 9.4ubuntu4
2017-02-15 20:17:05 configure base-files:armhf 9.4ubuntu4 9.4ubuntu4
2017-02-15 20:17:05 status unpacked base-files:armhf 9.4ubuntu4
2017-02-15 20:17:05 status unpacked base-files:armhf 9.4ubuntu4
2017-02-15 20:17:05 status unpacked base-files:armhf 9.4ubuntu4
2017-02-15 20:17:05 status unpacked base-files:armhf 9.4ubuntu4
2017-02-15 20:17:05 status unpacked base-files:armhf 9.4ubuntu4
2017-02-15 20:17:05 status unpacked base-files:armhf 9.4ubuntu4
2017-02-15 20:17:05 status unpacked base-files:armhf 9.4ubuntu4
2017-02-15 20:17:05 status unpacked base-files:armhf 9.4ubuntu4
2017-02-15 20:17:05 status unpacked base-files:armhf 9.4ubuntu4
2017-02-15 20:17:05 status unpacked base-files:armhf 9.4ubuntu4
2017-02-15 20:17:05 status unpacked base-files:armhf 9.4ubuntu4
2017-02-15 20:17:05 status half-configured base-files:armhf 9.4ubuntu4
2017-02-15 20:17:05 status installed base-files:armhf 9.4ubuntu4
2017-02-15 20:17:05 startup archives install
2017-02-15 20:17:05 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2017-02-15 20:17:05 status half-configured dpkg 1.18.4ubuntu1
2017-02-15 20:17:05 status unpacked dpkg 1.18.4ubuntu1
2017-02-15 20:17:05 status half-installed dpkg 1.18.4ubuntu1
2017-02-15 20:17:06 status half-installed dpkg 1.18.4ubuntu1
2017-02-15 20:17:06 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-02-15 20:17:06 status unpacked dpkg:armhf 1.18.4ubuntu1
